iter	Passed	Remaining
973	59860	63056
974	59877	62948
975	59894	62840
976	59912	62733
977	59930	62626
978	59946	62518
979	59963	62411
980	59980	62304
981	59996	62196
982	60031	62108
983	60061	62014
984	60088	61919
985	60121	61829
986	60158	61742
987	60191	61653
988	60220	61560
989	60250	61467
990	60280	61375
991	60308	61281
992	60337	61188
993	60367	61096
994	60397	61004
995	60426	60911
996	60456	60819
997	60483	60726
998	60517	60638
999	60550	60550
1000	60582	60461
1001	60640	60398
1002	60701	60337
1003	60752	60268
1004	60813	60208
1005	60885	60158
1006	60954	60107
1007	61026	60057
1008	61105	60015
1009	61169	59958
1010	61231	59899
1011	61286	59833
1012	61382	59806
1013	61451	59754
1014	61520	59702
1015	61575	59636
1016	61636	59576
1017	61710	59528
1018	61770	59467
1019	61835	59410
1020	61901	59355
1021	61977	59309
1022	62051	59261
1023	62123	59211
1024	62194	59160
1025	62252	59097
1026	62315	59039
1027	62378	58980
1028	62438	58919
1029	62499	58858
1030	62556	58794
1031	62615	58732
1032	62694	58689
1033	62801	58671
1034	62934	58678
1035	63038	58657
1036	63146	58640
1037	63209	58581
1038	63268	58518
1039	63333	58461
1040	63388	58395
1041	63449	58334
1042	63506	58269
1043	63559	58202
1044	63611	58132
1045	63665	58065
1046	63721	58000
1047	63782	57939
1048	63841	57877
1049	63898	57813
1050	64018	57805
1051	64092	57756
1052	64188	57727
1053	64272	57686
1054	64362	57651
1055	64504	57663
1056	64667	57693
1057	64815	57708
1058	64943	57707
1059	65085	57717
1060	65246	57743
1061	65350	57720
1062	65456	57697
1063	65554	57668
1064	65663	57648
1065	65851	57697
1066	66023	57731
1067	66412	57955
1068	67209	58533
1069	69980	60824
1070	70446	61106
1071	70576	61095
1072	70665	61050
1073	71251	61433
1074	72404	62301
1075	72894	62597
1076	73378	62886
1077	73732	63062
1078	74103	63252
1079	74484	63449
1080	74888	63665
1081	75369	63945
1082	75711	64106
1083	76171	64365
1084	76500	64514
1085	76859	64686
1086	77132	64785
1087	77433	64907
1088	77734	65028
1089	77954	65081
1090	78245	65192
1091	78584	65342
1092	78764	65360
1093	79061	65475
1094	79274	65519
1095	79471	65549
1096	79778	65669
1097	80099	65801
1098	80432	65941
1099	80772	66086
1100	81097	66218
1101	81446	66369
1102	82094	66762
1103	82531	66982
1104	83530	67655
1105	83817	67750
1106	84251	67964
1107	84615	68119
1108	84801	68131
1109	85084	68220
1110	85260	68223
1111	85514	68288
1112	85736	68327
1113	85999	68398
1114	86188	68409
1115	86708	68682
1116	86990	68766
1117	87411	68959
1118	87568	68943
1119	87706	68912
1120	88023	69020
1121	88485	69242
1122	88746	69306
1123	88910	69293
1124	89175	69359
1125	89449	69430
1126	90791	70329
1127	91759	70934
1128	92226	71150
1129	92275	71044
1130	92310	70926
1131	92340	70805
1132	92370	70684
1133	92401	70564
1134	92433	70444
1135	92467	70327
1136	92495	70205
1137	92521	70082
1138	92550	69961
1139	92577	69839
1140	92606	69718
1141	92635	69598
1142	92663	69477
1143	92694	69359
1144	92731	69244
1145	92768	69131
1146	92806	69018
1147	92845	68906
1148	92878	68789
1149	92911	68673
1150	92941	68555
1151	92974	68439
1152	93010	68326
1153	93043	68210
1154	93073	68092
1155	93100	67973
1156	93128	67853
1157	93153	67733
1158	93179	67613
1159	93204	67493
1160	93233	67375
1161	93260	67256
1162	93288	67138
1163	93315	67020
1164	93344	66903
1165	93371	66785
1166	93399	66668
1167	93434	66555
1168	93464	66440
1169	93493	66324
1170	93520	66207
1171	93545	66088
1172	93572	65971
1173	93597	65852
1174	93619	65732
1175	93642	65613
1176	93665	65493
1177	93687	65374
1178	93713	65257
1179	93742	65143
1180	93768	65026
1181	93794	64910
1182	93816	64791
